tag,title,artist,id
rap,2 Is Better 棍子,Chris Travis,3036329
rap,Scottie,KrJ,72180
rock,Pirate Password,The never land pirate band,2122100
rock,Indri,Puta Volcano,6889288
misc,Maps,ANBARDA,3735887
rock,Untitled 2,John Frusciante,1264509
pop,Hero,Van Canto,1308733
rb,18,ASTN,3727088
rap,Waited,Niko Campos,4774563
rap,Famous,PARTYNEXTDOOR,688894
rock,Digging Pt. 1,Spite,3017125
rap,Hop Out Remix,1Hunnid,6795089
rap,Kill Jarrad,Dead End Dessie,4634778
pop,They Shoot Horses Don’t They?,Racing Cars,1953615
rap,Tarpin,Lil Sock,4958625
rap,Drugs Wave UNRELEASED,Shordie Shordie,5421574
rock,Seven Eight,Sweet Myths,4346971
rock,Delusion,Novelists FR,2084927
misc,Salutation The Second,Ezra Pound,127346
pop,Wake Up Call,Vanilla Sky,1339814
misc,A Day for the Cat in the Hat,Stephen Flaherty,2942443
country,Just Out Of Reach Of My Two Open Arms,Faron Young,1706191
rock,Let You Down,Sugarwater,4557204
country,Charlene,Cole Chaney,7407423
rb,LET ME EAT DAT,NLE CHANCLA,7432271
rock,Sunflower Seeds,The Orielles,3578976
pop,Run With Us,Lisa Lougheed,1660044
pop,Beauty of the night,Black Heaven,1265371
pop,The Mark of the Devil,Pulp,1556620
rap,White Iverson,Post Malone,698675
rap,Yessuh,Mo Bangaz,6638137
pop,Transit Transit,Autolux,1580514
rock,Funeral Sun,Absent (ENG),3652273
rock,Straighten The Rug,Val Kilmer,2215868
pop,Sober,LIZOT & Jerome,6407007
rock,Ragazzo So Low,Asbo Slipz,3901708
rock,Roses in the Hospital Impact Demo,Manic Street Preachers,6837242
pop,Field Of Dreams,Heartsrevolution,3014026
rap,Letter to Yemba Shungu Let rap down,LetshohlaJr,4366689
pop,Lonely,LIAMOO,6936008
pop,LATE NIGHTS,Eggnog (Artist),5832755
pop,Say Anything,The Young Dubliners,3915475
rap,Two Months,MDT8,7485780
rap,Around Me,Boe Northern,6252556
pop,So Hot You’re Hurting My Feelings,Caroline Polachek,4713785
pop,Mystery Of Life,Nickodemus,3380244
pop,Do You Miss Me,Geff Harrison,4461723
